id,TÊN THỰC PHẨM,calories,water_g,protein_g,fats_g,carbs_g,fiber_g
585,Tỏi ta,126,67.7,6.0,0.35,24.65,1.5
586,Tỏi tây (cả lá),35,90,1.4,,7.4,1.5
587,Tôm biển,82,79.2,17.6,0.9,0.9,0.0
588,Tôm đồng,90,76.9,18.4,1.8,0.0,0.0
589,Tôm khô,347,12.6,75.6,3.8,2.5,0.0
590,Trai,38,89.9,4.6,1.1,2.5,0.0
591,Trám đen chín,134,77,2.5,10.0,8.5,4.9
592,"Trám xanh sống, trám trắng",56,86.7,1.2,1.6,9.3,4.9
593,Trân châu sắn,344,14,1.0,,84.9,0.6
594,Trứng cá,171,64.9,20.5,9.9,0.0,0.0
595,Trứng cá muối,274,47.5,24.6,17.9,3.5,0.0
596,Trứng chim cút,157,72.7,12.78,10.47,2.89,0.0
597,Trứng gà công nghiệp,132,76.2,12.79,8.17,1.89,
598,Trứng gà ta,150,74.5,12.96,10.33,1.25,0.0
599,Trứng vịt,172,70.9,13.02,12.02,2.94,0.0
600,Trứng vịt lộn,182,67,13.6,12.4,4.0,0.0
601,Tương nếp,86,68.3,4.3,0.7,15.7,0.0
602,Tương ngô,75,70.3,3.9,0.1,14.5,0.0
603,Tương ớt,41,84,0.5,0.5,8.5,0.9
604,Tủy xương bò,814,8.7,1.1,89.9,0.0,0.0
605,Tủy xương lợn,749,15,2.3,82.2,0.0,0.0
606,Vải,49,87.8,0.7,0.35,10.75,1.1
607,Vải khô,264,34.9,3.0,1.9,58.6,1.0
608,Vải nước đường,65,83.6,0.4,0.0,15.8,1.1
609,Vú sữa,51,86.5,1.0,,11.7,2.3
610,"Vừng (đen, trắng)",582,7.6,20.1,46.4,21.1,3.5
611,Xì dầu,55,70.8,6.3,0.04,7.46,0.8
612,Xoài chín,69,82.6,0.6,0.3,15.9,0.0
613,Xôi đỗ xanh,230,42.4,5.5,0.4,51.0,1.3
614,Xôi gấc,231,42.8,3.1,0.8,52.9,0.1
615,Xôi lạc,246,43.6,4.2,4.3,47.5,1.1
616,Xôi ngô,198,54.6,4.4,4.0,36.0,1.2
617,Xôi xéo,254,40.3,4.3,3.7,50.9,0.4
618,Xúc xích,535,17,27.2,47.4,0.0,0.0
619,Xương sông,28,91.7,2.2,,4.7,3.2
620,Yogurt ,26,92.8,3.4,0.0,3.1,0.0
