id,TÊN THỰC PHẨM,calories,water_g,protein_g,fats_g,carbs_g,fiber_g
290,"Hạt điều khô, chiên dầu",585,12.7,18.3,49.3,17.1,0.7
291,Hạt dưa đỏ rang (dưa hấu),558,4.8,31.8,39.1,19.8,1.8
292,Hạt mít,166,58.2,0.7,1.1,38.3,0.0
293,Hạt sen khô,342,14,20.0,2.4,60.2,2.2
294,Hạt sen tươi,164,57.9,9.5,0.5,30.3,0.8
295,Hạt tiêu,365,13.5,7.0,7.4,67.6,33.5
296,Hẹ lá,21,94.5,2.2,0.21,2.49,0.9
297,Hến,45,88.8,4.5,0.7,5.1,0.0
298,Hoa chuối,28,92,1.5,,5.5,2.0
299,Hoa lý,35,90.5,2.9,,5.8,3.0
300,Hồng bì,44,88.2,1.4,,9.6,2.4
301,Hồng đỏ,38,90,0.7,0.1,8.6,2.5
302,Hồng ngâm,48,87.5,0.9,,11.1,2.5
303,Hồng xiêm,58,85.7,0.5,0.7,12.5,2.5
304,Kê,345,14,7.0,3.0,72.4,3.4
305,Kẹo bơ cứng,448,8.8,2.1,17.2,71.1,0.0
306,Kẹo cà phê,378,6.6,0.0,1.3,91.5,0.0
307,Kẹo cam chanh,378,5.4,0.0,0.5,93.4,0.3
308,Kẹo dứa mềm,425,8.5,0.6,12.2,78.1,2.5
309,Kẹo dừa mềm,425,8.5,0.6,12.2,78.1,2.5
310,Kẹo lạc,458,5,10.3,16.5,67.0,2.2
311,Kẹo Pastille (kẹo ngậm bạc hà),356,10.2,5.2,0.0,83.8,0.0
312,Kẹo sô cô la,393,6.8,1.6,4.6,86.3,1.2
313,Kẹo sữa,390,8.4,2.9,5.2,83.0,0.0
314,Kẹo vừng viên,424,1.7,2.8,6.9,87.6,1.7
315,Khế,26,93.5,0.6,0.23,5.47,2.6
316,Khoai lang,124,68,0.8,0.2,29.8,1.3
317,Khoai lang khô,348,11,2.2,0.5,83.6,3.6
318,Khoai lang nghệ,119,69.9,1.2,0.3,27.9,0.8
319,Khoai môn,113,70.8,1.5,0.2,26.4,1.2
320,Khoai nước,106,72.5,1.0,0.1,25.3,2.0
321,Khoai riềng,114,70,0.8,,27.6,2.5
322,Khoai sọ,119,69,1.8,0.1,27.7,1.2
323,Khoai tây,96,75,2.0,0.07,21.93,1.0
324,Khoai tây khô,343,11,6.6,0.3,78.5,3.4
325,Khoai tây lát chiên,550,3,2.2,35.4,55.6,6.3
326,Kiệu muối,29,89.5,1.3,,5.9,1.2
327,Lá lốt,49,86.5,4.3,,7.9,2.5
328,Lá me,46,86,7.5,,4.0,0.0
329,Lá mơ lông,48,86.1,3.9,,8.0,5.1
330,Lá sắn tươi,96,74.8,7.0,,16.9,4.3
331,Lạc chao dầu,680,1.8,25.7,59.5,10.3,0.0
332,Lạc hạt,583,7.5,27.5,44.5,18.0,2.5
333,Lạp xường,585,18.8,20.8,55.0,1.7,0.0
334,Lê,48,87.8,0.7,0.2,10.8,0.6
335,Lòng đỏ trứng gà,327,54,13.6,29.8,1.0,0.0
336,Lòng đỏ trứng vịt,364,47.5,13.6,32.3,4.8,0.0
337,Lòng gà (cả bộ),119,74.9,17.88,4.47,1.79,0.0
338,Lòng lợn (ruột già),167,76.6,6.9,15.1,0.8,0.0
339,Lòng lợn (ruột non),44,90.5,7.2,1.3,0.8,0.0
340,Lòng trắng trứng gà,46,88,10.3,0.1,1.0,0.0
341,Lòng trắng trứng vịt,47,87.8,10.7,0.1,0.8,0.0
342,Lưỡi bò,164,73.2,13.6,12.1,0.2,0.0
343,Lưỡi lợn,178,70.8,14.2,12.8,1.4,0.0
344,Lươn,130,68.3,18.4,1.5,10.7,0.0
345,Lựu,79,79.6,0.6,0.15,18.85,2.5
346,Mắc coọc,24,93.8,0.2,,5.7,0.0
347,Mắc coọc nước đường,58,85.1,0.2,0.0,14.4,0.7
348,Mạch nha,331,15,0.2,0.0,82.5,0.0
349,Magi,65,66,10.0,0.1,6.1,0.0
350,Mắm tép chua,68,55.5,8.7,1.2,5.5,0.0
351,Mắm tôm đặc,73,48,14.8,1.5,0.0,0.0
352,Mắm tôm loãng,44,68.6,7.0,0.8,2.1,0.0
353,Mận miền nam,27,93,0.4,,6.4,2.9
354,Mận nước đường,62,84.5,0.3,0.1,14.9,1.8
355,Mận tím,23,94.1,0.6,0.2,4.6,0.7
356,Mãng cầu xiêm,58,84.7,1.8,,12.6,1.9
357,Măng chua,28,92.8,1.4,,5.5,4.1
358,Măng khô,301,23,13.0,2.1,57.5,36.0
359,Măng tây,24,93.7,2.2,0.14,3.36,2.3
360,Măng tre,31,92,1.7,0.21,5.59,4.1
361,Mật ong,327,18,0.4,0.0,81.3,0.0
362,Mề gà,99,75.6,21.3,1.3,0.6,0.0
363,Men bia khô,367,7.5,52.5,3.2,32.0,6.6
364,Men bia tươi,103,74.6,16.2,1.3,6.5,2.0
365,Miến dong,338,14.5,0.6,0.1,83.7,1.5
366,Miến lươn,73,83.9,2.4,2.6,9.92,0.2
367,Miến ngan,65,85.4,2.0,2.4,8.96,0.6
368,Mít dai,54,85.4,0.6,0.19,12.41,1.2
369,Mít khô,286,26,2.9,,68.5,1.5
370,Mít mật,67,82.2,1.5,,15.2,1.2
371,Mơ,50,87.1,0.9,0.27,11.03,0.8
372,Mơ khô,290,25.9,3.0,1.1,66.9,4.1
373,Mỡ lợn muối,827,3,2.0,91.0,0.0,0.0
374,Mỡ lợn nước,896,0.4,0.0,99.6,0.0,0.0
375,Mộc nhĩ,332,11.4,10.6,0.2,72.0,7.0
376,Mực khô,291,26.2,60.1,4.5,2.5,0.0
377,Mực tươi,73,81.4,16.3,0.9,0.0,0.0
378,Muối,0,1,0.0,0.0,0.0,0.0
379,"Muỗm, quéo",69,82.9,0.6,0.4,15.7,0.4
380,Mướp,18,95.1,0.9,0.14,3.36,0.5
381,Mướp đắng,20,94.4,0.9,,4.1,1.1
382,Mướp Nhật bản,16,95.4,0.8,0.0,3.2,1.4
383,Mứt bí ngô,201,49.4,0.5,0.0,49.8,0.7
384,Mứt cam có vỏ,227,42.8,0.4,0.0,56.4,2.2
385,Mứt chuối,224,43.8,0.7,0.0,55.2,1.3
386,Mứt đu đủ,186,53.2,0.4,0.0,46.1,2.0
387,Mứt dứa,210,47.2,0.5,0.0,51.9,0.4
388,Mứt lạc,433,1.8,5.4,8.6,83.6,0.7
389,Mỳ sợi,350,13,11.0,0.9,74.5,0.3
390,Mỳ vằn thắn,81,82.5,2.6,3.1,10.58,0.2
391,Mỳ xào,139,72.7,5.7,7.0,13.41,0.9
392,Na,69,82.5,1.6,0.2,15.1,0.8
393,Nấm hương khô,342,13,36.0,4.0,40.5,17.0
394,Nấm hương tươi,51,87,5.5,0.5,6.1,3.0
395,Nấm mỡ,37,90.4,4.0,0.3,4.5,1.1
396,Nấm rơm,61,87.9,3.6,3.2,4.5,1.1
397,Nấm thường tươi,48,88,4.6,0.8,5.7,3.5
398,Nem chạo,116,71.5,12.1,1.6,13.35,0.3
399,Nem chua,125,70.5,20.7,3.3,3.1,0.5
400,Nem lụi,183,69.5,6.7,13.3,9.07,0.9
401,Nem rán,145,71.5,4.5,7.7,14.42,1.3
402,Ngải cứu,33,89.7,3.8,0.0,4.4,2.0
403,Ngao biển trắng,42,87.5,5.37,0.44,4.03,0.0
404,"Nghệ khô, bột",360,13,6.3,5.1,72.1,0.0
405,Nghệ tươi,377,0.3,0.0,5.2,82.5,0.9
406,Ngô bao tử,42,89.2,2.2,0.2,7.8,0.4
407,Ngô bắp tươi,200,52,4.1,2.3,40.8,1.2
408,Ngô nếp luộc,172,59,3.9,2.2,34.1,1.2
409,Ngó sen,65,82.9,1.0,0.07,15.13,1.2
410,Ngô vàng hạt khô,362,14,8.6,4.7,71.4,2.0
411,Ngọn su su,24,93,3.3,0.1,2.5,
412,Nhãn,52,86.3,0.9,,12.0,1.0
413,Nhãn khô,292,25,4.3,0.5,67.6,1.7
414,Nhãn nước đường,66,83.3,0.5,0.0,16.0,1.0
415,Nho ngọt,71,82.1,0.4,0.11,16.99,0.6
416,Nho ta ,24,93.6,0.4,,5.5,2.4
417,Nhộng,111,79.7,13.0,6.5,0.0,0.0
418,Nhót,22,94,1.2,,4.4,2.3
419,"Nhút (dưa muối từ mít non, lá đậu xanh non...)",25,84.9,2.5,,3.8,2.3
420,Nộm tai lợn,119,76.7,6.6,6.3,8.85,1.3
421,Nụ mướp,36,90,4.9,,4.0,1.5
422,Nước cam tươi,23,94.1,0.7,0.2,4.7,0.0
423,Nước dứa hộp,41,89.6,0.3,0.06,9.74,0.4
424,Nước dừa non tươi,21,94.4,0.4,0.1,4.7,0.0
425,Nước ép cà chua,21,94.6,0.8,0.6,3.0,0.4
426,Nước khoáng,0,99.7,0.0,0.0,0.02,0.0
427,Nước mắm cá,35,71.1,5.06,0.01,3.64,0.0
428,Nước mắm cá (loại đặc biệt),60,60,15.0,0.0,0.0,0.0
429,Nước mắm cô,131,20.2,32.8,,0.0,0.0
430,Nước mắm loại I,28,67.9,7.1,0.0,0.0,0.0
431,Nước mắm loại II,21,66.8,5.2,0.0,0.0,0.0
432,Nước quít tươi,25,93.8,0.4,0.2,5.3,0.2
433,óc bò,124,79.4,9.0,9.5,0.5,0.0
434,Ốc bươu,84,76.8,11.1,0.7,8.3,0.0
435,Ốc đá,63,80.3,11.2,0.3,3.9,0.0
436,óc lợn,123,80.1,9.0,9.5,0.4,0.0
437,Ốc nhồi,84,77.6,11.9,0.7,7.6,0.0
438,Ốc vặn,72,79.1,12.2,0.7,4.3,0.0
439,Ổi,61,85,0.6,0.76,12.94,6.0
440,Ớt đỏ to,31,92.2,0.99,0.3,6.04,2.0
441,ớt khô bột,322,12,15.6,4.2,55.4,23.6
442,Ớt vàng to,34,91,1.3,,7.1,1.4
443,Ớt xanh to,31,92,1.3,0.13,6.07,1.5
444,Pa tê,326,47.5,10.8,24.6,15.4,0.0
445,Phở bò chín,73,81.7,5.2,0.9,11.1,0.3
446,Phở bò tái,67,82.7,4.3,0.3,11.8,0.2
447,Phở gà,73,81.9,3.8,1.0,12.3,0.6
448,Phó mát,380,38.9,25.5,30.9,0.0,0.0
449,Phổi bò,103,79.1,15.2,4.7,0.0,0.0
450,Phổi lợn,92,80.6,14.8,3.6,0.0,0.0
451,Quả bơ vỏ tím,76,88.3,1.8,6.2,3.2,0.4
452,Quả bơ vỏ xanh,103,85.4,1.9,9.4,2.8,0.5
453,Quả cọ tươi,192,67.1,2.3,13.4,15.6,3.5
454,Quả cóc,62,83.9,1.8,,13.7,0.9
455,Quả đại hái tươi,440,35,20.0,38.0,4.6,3.4
456,Quả dọc,19,95,0.8,0.0,3.9,0.0
457,Quả kiwi,68,83.1,1.14,0.52,14.66,3.0
458,Quả me chua,35,90.3,1.9,,6.8,2.0
459,Quả thanh long,47,87.6,1.3,,10.5,1.8
460,Quả trứng gà,106,73.4,4.3,0.4,21.3,0.0
461,Quất chín (cả vỏ),42,89,0.9,,9.6,4.1
462,Quít,40,89.5,0.8,,9.2,0.6
463,"Rạm (muối, đồ)",83,64.4,14.2,2.9,0.0,0.0
464,Rạm tươi,77,78.2,12.9,2.8,0.0,0.0
465,Rau bí,26,93.2,2.7,0.28,3.12,1.7
466,Rau câu khô,281,20,11.2,1.1,56.6,20.8
467,Rau câu tươi,45,86.2,1.9,0.1,9.1,5.0
468,Rau đay,31,91.4,2.8,0.18,4.52,1.5
469,Rau diếp,15,95.7,1.2,0.11,2.39,0.5
470,"Rau giấp cá, diếp cá",30,91.5,2.9,,4.5,1.8
471,Rau giền cơm,27,92,3.4,0.31,2.69,1.6
472,Rau giền đỏ,47,86.2,3.3,0.31,7.79,1.6
473,Rau giền trắng,48,86.7,3.2,0.4,7.8,1.5
474,Rau húng,34,91.4,2.2,0.52,5.08,3.5
475,Rau khoai lang,28,91.9,2.6,0.21,3.99,1.4
476,Rau kinh giới,36,90.3,2.7,,6.4,3.6
477,Rau má rừng,31,91.1,3.1,,4.6,1.5
478,"Rau má, má mơ",38,88.2,3.2,,6.3,4.5
479,Rau mồng tơi,24,93.2,2.0,,3.9,2.5
480,Rau mùi,22,93.3,2.6,0.33,2.17,1.8
481,Rau mùi tàu,30,92,2.1,0.55,4.25,1.6
482,Rau muống,28,92,3.2,0.24,3.26,1.0
483,Rau muống khô,293,14,34.2,1.8,35.0,12.0
484,Rau ngổ,24,93.3,1.5,,4.4,2.1
485,Rau ngót,45,86.4,5.3,,5.9,2.5
486,Rau ngót khô,299,14,32.2,2.6,36.8,15.0
487,Rau răm,45,86.7,4.7,,6.6,3.8
488,Rau rút,35,90.4,5.1,,3.7,1.9
489,Rau sà lách,18,95,1.5,0.27,2.43,0.5
490,Rau sam,20,93.6,1.4,,3.7,0.7
491,Rau sắng (chùa hương),62,82.4,6.5,,8.9,3.4
492,Rau tàu bay,24,93.1,2.5,,3.5,1.6
493,Rau thơm,30,91.7,2.0,,5.4,3.0
